trade_date,rank,code,name,stk_code,stk_name,industry,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size_yi,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,call_risk,risk_flags,missing_fields
2026-06-25,6,110076.SH,华海转债,600521,华海药业,化学制药,底价观察,C,31.2,114.91,110.0,cb_basic.maturity_call_price,4.91,29.95,125,18.42,,44.9,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-26,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,59.3,115.43,115.0,cb_call.call_price,0.43,5.23,12,5.52,,61.8,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-26,2,128138.SZ,侨银转债,002973,侨银股份,环境保护,B下修事件,B,55.1,129.49,130.0,cb_basic.maturity_call_price,-0.51,74.89,140,4.2,,39.2,83.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-26,3,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,37.8,113.4,110.0,cb_basic.maturity_call_price,3.4,29.18,114,14.05,,45.1,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-26,4,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,32.7,111.07,106.5,cb_basic.maturity_call_price,4.57,26.67,107,58.96,,45.8,50.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-29,1,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,A,60.1,115.0,115.0,cb_call.call_price,0.0,7.53,12,5.52,,60.6,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-29,2,128138.SZ,侨银转债,002973,侨银股份,环境保护,B下修事件,B,55.4,129.31,130.0,cb_basic.maturity_call_price,-0.69,80.64,140,4.2,,40.7,83.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-29,3,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,42.8,112.52,110.0,cb_basic.maturity_call_price,2.52,22.55,114,14.05,,48.0,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-29,4,110076.SH,华海转债,600521,华海药业,化学制药,底价观察,C,39.3,113.03,110.0,cb_basic.maturity_call_price,3.03,27.13,125,18.42,,45.7,53.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-29,5,110075.SH,南航转债,600029,南方航空,空运,底价观察,C,32.4,111.05,106.5,cb_basic.maturity_call_price,4.55,29.28,107,58.96,,45.1,50.0,,,60.0,,50.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
